lemma,id_slovo
diktát,544
diskutovat,545
Eman,546
etabery,547
FLutonsky,548
hlavní,549
kauza,550
Kč,551
kolo,552
korupce,553
kultura,554
Merkelová,555
minuta,556
možný,557
muslimský,558
mzda,559
německý,560
novinář,561
nutný,562
ostatní,563
Petr,564
PetrHonzejk,565
podívat,566
posílat,567
prezidentský,568
přijímání,569
připomenout,570
připomínat,571
ruský,572
skoro,573
smět,574
správně,575
Tiskovka,576
tomio,577
Tvrdík,578
twitter,579
tým,580
úspěch,581
vlastní,582
voda,583
vražda,584
vždycky,585
Zemanův,586
znát,587
8,588
akorát,589
atmosféra,590
Brusel,591
chybět,592
čínský,593
David,594
díky,595
dotace,596
dovolit,597
eura,598
iDNEScz,599
islamista,600
jsuchany,601
KSČM,602
kubik,603
ministerstvo,604
muž,605
Němec,606
neziskovek,607
oba,608
odmítnout,609
odpověď,610
OKD,611
okundra,612
pěkný,613
Plzeň,614
pracovat,615
přímo,616
ptát,617
rozhodnutí,618
rozum,619
sankce,620
slyšet,621
špatně,622
stále,623
the,624
uprchlík,625
většina,626
vybrat,627
vyhrát,628
zeptat,629
živnostník,630
způsob,631
zrušit,632
zvýšení,633
auto,634
Čapí,635
důkaz,636
ekonomický,637
holka,638
in,639
koruna,640
někdy,641
normální,642
OndrejKasik,643
Ostrava,644
otevřený,645
pivo,646
počet,647
podvod,648
pokračovat,649
pořad,650
posledniskaut,651
prchat,652
Radiozurnal,653
reakce,654
Reporter,655
rozdíl,656
růst,657
šance,658
skutečný,659
Sobotkův,660
sorry,661
současný,662
terorismus,663
titul,664
tweet,665
unie,666
večer,667
vedení,668
velmi,669
vemený,670
vlna,671
začínat,672
Zeitung,673
14,674
bílý,675
bohužel,676
daňový,677
demise,678
držení,679
fanoušek,680
fungovat,681
hlasování,682
hlasovat,683
jednoduchý,684
JStredula,685
Kdyby,686
končit,687
Konvička,688
krásný,689
kromě,690
listopad,691
místopředseda,692
naučit,693
parlamentní,694
Pelta,695
plný,696
poslankyně,697
posledniskautý,698
předvolební,699
přijímat,700
případ,701
Prosazovat,702
pustit,703
rozumět,704
škoda,705
Slavia,706
smysl,707
spravedlnost,708
správný,709
teror,710
titulek,711
včerejší,712
vést,713
vium,714
voják,715
vymyslet,716
vysvětlit,717
zásadní,718
zisk,719
=,720
30,721
AB,722
africký,723
Aktualnecz,724
autor,725
bezpečný,726
budoucnost,727
Čechy,728
cenzura,729
česky,730
chudák,731
Čína,732
čtení,733
dále,734
dojít,735
dozvědět,736
dům,737
důvěra,738
evidentně,739
GajduskovaAlena,740
geniální,741
Hašek,742
hledat,743
hrdý,744
jakýkoliv,745
jednat,746
jistě,747
již,748
kandidátka,749
levný,750
lidský,751
lze,752
mandát,753
MichaelRomancov,754
Milan,755
Mynář,756
naopak,757
například,758
název,759
noviny,760
obyvatel,761
odborník,762
odvolatelnost,763
OSN,764
osoba,765
oznámit,766
pále,767
pietní,768
pirát,769
počítat,770
podnikatel,771
podpis,772
pomoci,773
pondělí,774
poslat,775
povést,776
přijmout,777
prodat,778
prohlásit,779
propagace,780
reportáž,781
řídit,782
SlavekSobotek,783
SlechtovaKarel,784
smrt,785
soud,786
spíše,787
spolu,788
spousta,789
štěstí,790
takzvaný,791
tiskovka,792
tomassyrovatka,793
totiž,794
Turecko,795
tvrdit,796
uctít,797
věta,798
volat,799
vs,800
vůči,801
vyjít,802
žádat,803
zahalování,804
získat,805
Zprava,806
zvolený,807
